A: Goodfellas     B: Godfather     C: Taxi Driver     D: The Irishman
A: The Shawshank Redemption     B: Pulp Fiction     C: Forrest Gump     D: Schindler´s List
A: Max     B: Buddy     C: Marcel     D: Joey
A: Brad Pitt     B: Leonardo DiCaprio     C: Tom Cruise     D: Johnny Depp
A: Westeros     B: Essos     C: Sothoryos     D: Ulthos
A: Reese Witherspoon     B: Cameron Diaz     C: Julia Roberts     D: Sandra Bullock
A: Blue     B: Red     C: Green     D: Yellow
A: Walter White     B: Jesse Pinkman     C: Saul Goodman     D: Hank Schrader
A: Chris Hemsworth     B: Chris Evans     C: Robert Downey Jr.     D: Mark Ruffalo
A: Jordan Peele     B: Quentin Tarantino     C: Christopher Nolan     D: Steven Spielberg
A: The Shadow Realm     B: The Netherworld     C: The Upside Down     D: The Abyss
A: Kendall     B: Khloé     C: Kylie     D: Kourtney
A: Shrek        B: The Lion King       C: Madagascar       D: Finding Nemo
A: Seth MacFarlane     B: Matt Groening        C: Mike Judge       D: Trey Parker
A: Red        B: Jake       C: Brooks       D: Mozart
A: Central Park        B: Java Junction       C: Perk-Up       D: Brewed Bliss
A: Emma Watson        B: Jennifer Lawerence      C: Scarlett Johansson      D: Anne Hathaway
A: Christopher Nolan      B: Martin Scorsese    C: Todd Philips     D: Quentin Tarantino
A: Metropolis       B: Gotham City     C: Central City     D: Star City
A: Dom Cobb      B: Arthur      C: Eames      D: Cobb Nolan
A: Moana      B: Coco       C: Zootopia       D: Frozen
A: Leonardo DiCaprio      B: Matthew McConaughey       C: Christian Bale      D: Bradley Cooper
A: The Hunger Games      B: Twilight      C: Harry Potter      D: The Chronicles of Narnia
A: Zamunda      B: Wakanda      C: Genovia      D: Elbonia
A: Heath Ledger      B: Joaquin Phoenix      C: Jack Nicholson      D: Jared Leto
